|        a         |        b         |sel |       out        |
| 0000000000000001 | 0000000000000001 | 00 | 0000000000000010 |
| 0000000000000001 | 0000000000000001 | 01 | 0000000000000010 |
| 0000000000000001 | 0000000000000001 | 10 | 0000000000000010 |
| 0000000000000001 | 0000000000000001 | 11 | 0000000000000001 |
| 0000000000000001 | 0000000000010001 | 00 | 0000000000010010 |
| 0000000000000001 | 0000000000000011 | 01 | 0000000000000010 |
| 0000000000000001 | 0000001000000001 | 10 | 0000000000000010 |
| 0000000000000001 | 0000000001000001 | 11 | 0000000001000001 |
| 0000000000010001 | 0000000100000001 | 00 | 0000000100010010 |
| 0000000000000001 | 0000000000010001 | 01 | 0000000000000010 |
| 0000000100000001 | 0000000000000001 | 10 | 0000000100000010 |
| 0000000010000001 | 0000000000000001 | 11 | 0000000010000001 |
| 0000000000000001 | 0000000001000001 | 00 | 0000000001000010 |
| 0000000000000001 | 0000000010000001 | 01 | 0000000000000010 |
| 0000000000010001 | 0000000000000001 | 10 | 0000000000010010 |
| 0000000000100001 | 0000000000000001 | 11 | 0000000000100001 |
